inset0,,inset1,,inset2,,inset3,,inset4,,inset5,,inset6,,inset7,,inset8,
0.037974495,0.18320595,0.030647134,1.3559924,0.006289151,1.5588179,0.050813045,-0.46540877,0.038655568,-0.36924836,0.0130788,-0.41923645,0.04905538,1.631098,0.037794802,0.1305799,0.050433002,0.13061427
0.15167835,0.17432536,0.13173276,1.3515278,0.1579076,1.5499164,0.17737497,-0.46931583,0.22850849,-0.3731858,0.16489704,-0.43469417,0.17543738,1.6314415,0.1894532,0.13099216,0.2273079,0.19633365
0.8848137,0.20037507,0.29596946,1.3382105,0.3601188,1.5498049,0.41790074,-0.46558526,0.41840145,-0.36943093,0.29149902,-0.43090886,0.36507025,1.5667185,0.30321696,0.1095552,0.37898624,0.17499974
0.46769324,0.18737808,0.47290424,1.338113,0.56225014,1.5320578,0.7089591,-0.48110995,0.65896726,-0.35800806,0.54466295,-0.43103057,0.55460334,1.610726,0.46757343,0.044763383,0.56861913,0.11027664
0.5813971,0.1784975,0.7129901,1.3291627,0.7516434,1.4922727,1.0253539,-0.4928006,0.7602128,-0.3619029,0.77265066,-0.4042169,0.7062617,1.6111382,0.5433427,0.11020793,0.78346854,0.11086066
0.65724623,0.18286465,0.9024433,1.3026046,0.9410966,1.4657146,1.2532215,-0.48906398,0.95016587,-0.3466095,0.96254367,-0.400462,0.93374926,1.6117566,0.7455539,0.1107576,1.0488707,0.11158209
0.7836482,0.18720394,1.1171529,1.2716235,1.1431081,1.4215137,1.481009,-0.50071204,1.1274607,-0.33131,1.2538624,-0.3659864,1.2118295,1.5690202,0.99833786,0.08969854,1.3268712,0.15583016
0.9985775,0.20472132,1.2940078,1.2538902,1.370456,1.3905257,1.8481767,-0.48550382,1.2920773,-0.3198506,1.4312174,-0.3391484,1.363488,1.5694324,1.2763582,0.11220047,1.5795752,0.22175567
1.1376376,0.21346259,1.4581447,1.218528,1.5598093,1.3419229,2.1394355,-0.46256676,1.5327233,-0.29304302,1.5958741,-0.31999665,1.5025481,1.526318,1.5290624,0.17812598,1.8070828,0.20062791
1.2893159,0.21778795,1.6981107,1.1831242,1.7112082,1.284523,2.367463,-0.42806074,1.7733492,-0.2700816,1.8618765,-0.2855089,1.6415483,1.548442,1.7312936,0.1569295,2.0599067,0.13607655
1.4157178,0.22212724,1.9254786,1.1565452,1.9005815,1.240329,2.5574963,-0.39738265,1.9760206,-0.24325576,2.1152005,-0.2548612,1.9450048,1.3970436,1.9208665,0.1574448,2.3126507,0.15850979
1.5800744,0.23526354,2.0769572,1.116781,2.1151912,1.1873033,2.772866,-0.36287054,2.2039483,-0.22798061,2.3939214,-0.20884103,2.1726522,1.2236928,2.1230977,0.13624834,2.6286256,0.13762249
1.7191545,0.24841376,2.2284958,1.0902438,2.329861,1.1475043,3.0009139,-0.32451835,2.4192176,-0.21269937,2.6345472,-0.18587962,2.4508123,1.0939717,2.3253288,0.11505186,2.906646,0.16012442
1.8961492,0.2615431,2.4305472,1.0548608,2.5318525,1.0988945,3.3304074,-0.25159928,2.5966327,-0.17432284,2.8878713,-0.15523194,2.627787,1.0509604,2.578033,0.18097736,3.1088173,0.20416637
2.0099328,0.2702983,2.6705933,1.0370927,2.7085278,1.0414807,3.6092083,-0.19019438,2.862615,-0.14368124,3.115799,-0.13995679,2.804762,1.0079491,2.8181586,0.18163009,3.4248123,0.16153294
2.161631,0.2790326,2.8474083,1.0105414,2.9358556,1.0060837,3.698116,-0.13254438,3.1285973,-0.113039665,3.419836,-0.09394877,3.0070128,0.9650065,3.0708828,0.22580945,3.6901546,0.22749281
2.351284,0.2965639,3.1632035,0.97509575,3.1632833,0.9927316,3.9134655,-0.10187846,3.3438468,-0.1016046,3.7617276,-0.07103604,3.2345803,0.8786403,3.2983105,0.29166624,3.8796077,0.35848495
2.5282986,0.31410217,3.4285858,0.9705406,3.4159675,0.97495645,4.1290555,-0.025058448,3.6478038,-0.07098127,4.053046,-0.036560453,3.4873245,0.9010735,3.5763907,0.24892975,4.14495,0.42444482
2.6800768,0.34047228,3.6181586,0.9704361,3.6181586,0.9704361,4.3065705,0.032548953,3.9011078,-0.04417977,4.3445253,0.028684521,3.7653646,0.9018293,3.8038385,0.29304042,4.35954,0.7077287
2.8570716,0.3536016,3.8456063,0.96149284,3.9467719,0.9746639,4.483966,0.06707931,4.0784626,-0.017341759,4.5853715,0.09395384,4.056063,0.8808733,4.132212,0.5331412,4.561611,0.8605013
3.0088298,0.37556273,4.073134,0.97018534,4.212174,0.97451764,4.686697,0.10544367,4.3191485,0.017158173,4.712174,0.13620089,4.270833,0.9684419,4.3595996,0.64249027,4.7255683,1.2306323
3.1353316,0.40194675,4.224832,0.9789196,4.540847,0.9919723,4.914845,0.16302674,4.471187,0.04400836,4.877291,0.24381463,4.5361953,1.0126556,4.599426,0.9693351,4.826275,1.66583
3.2871296,0.4327258,4.5028925,0.98317534,4.7683744,1.0006648,5.1427126,0.16676337,4.6360245,0.09777567,5.0298104,0.36297297,4.85211,1.0570067,4.864349,1.4919639,4.8638897,1.9921252
3.464304,0.48553562,4.679827,0.9830778,4.958127,1.0402409,5.433631,0.124315485,4.851454,0.14382629,5.1441545,0.44368786,5.180723,1.0361538,5.0282664,1.9055872,5.0151486,2.4274602
3.5656092,0.5295694,4.8947563,1.0005952,5.1857147,1.0621603,5.851271,0.10872996,4.940242,0.17839925,5.233183,0.5244149,5.534553,1.080608,5.116394,2.275512,5.0273876,2.8624175
3.692111,0.5559534,5.2360477,1.013634,5.337453,1.0797125,6.180244,0.08164852,5.079722,0.2244864,5.296814,0.5897694,5.8378496,1.1031786,5.305588,2.689204,5.102738,3.3845308
3.8061144,0.613207,5.50147,1.0178967,5.602835,1.0751573,6.294028,0.054670535,5.2570972,0.25517058,5.3859224,0.68588114,6.166503,1.0388334,5.494921,2.950673,5.1654696,3.8848639
3.9453144,0.6528109,5.8426013,0.9956639,5.830163,1.0397604,6.7496223,0.035220582,5.485005,0.26659957,5.487268,0.7012171,6.495076,1.0614728,5.6971126,2.9729688,5.190247,4.428586
3.995967,0.67482775,6.1079636,0.9866997,6.0322146,1.0043772,7.053359,0.023536004,5.649401,0.23575105,5.575775,0.68194366,6.8615637,1.0842152,5.874227,2.7777345,5.2781153,5.0812106
4.1730413,0.7055929,6.689321,0.9863793,6.310235,0.9998151,7.2811866,0.019580288,5.8263555,0.1856656,5.613469,0.628079,7.063755,1.106511,6.051561,2.3432927,5.328229,5.5597634
4.2744064,0.76285344,6.878914,0.9906838,6.4871697,0.9997176,7.559607,0.007907882,6.028586,0.12787563,5.67644,0.5665098,7.4935136,1.0424407,6.2160172,2.1697702,5.3909407,6.0818424
4.401048,0.82010007,7.1316977,0.99495345,6.6261497,0.9908231,7.74952,0.015508943,6.205641,0.09702104,5.7520885,0.50878066,7.746278,1.0431277,6.40587,1.8658395,5.4159374,6.3863573
4.5782423,0.87731886,7.4349546,0.98155946,6.967421,0.99945295,7.9773674,0.0153994,6.382595,0.046935588,5.8529334,0.42796236,7.9864035,1.0437804,6.583044,1.6053667,5.5545783,6.7999115
4.7300406,0.9080979,7.7382913,0.9858012,7.2960343,1.0036808,,,6.648297,0.023730747,5.890708,0.38948235,,,6.82331,1.4537965,5.617909,6.6478605
4.94505,0.9432511,7.9784374,0.99007785,8.003794,1.0076997,,,6.9393554,0.008206083,6.004191,0.30481178,,,7.050877,1.3674303,5.6686816,6.4087906
5.1220846,0.9651983,7.9784374,0.99007785,7.839457,0.99007785,,,7.230514,0.011912284,6.155709,0.23166145,,,7.3923283,1.1291503,5.732192,6.0610237
5.3117175,0.97832066,,,,,,,7.420407,0.015667172,6.2313375,0.17008616,,,7.6199555,0.97754574,5.7957225,5.691511
5.5265865,0.9826112,,,,,,,7.622918,0.011723627,6.42083,0.096917585,,,7.860101,0.9564523,5.859233,5.3437448
5.7161994,0.9913246,,,,,,,7.812811,0.015478515,6.623181,0.06220465,,,8.024358,1.0003912,5.8848286,4.9958754
5.918431,0.9956221,,,,,,,7.9773874,0.019245574,6.8128934,0.03134398,,,,,5.961057,4.5611587
6.1585965,1.0043076,,,,,,,,,7.053319,0.015843658,,,,,6.049924,4.1264763
6.322873,0.99980813,,,,,,,,,7.2811465,0.011887942,,,,,6.113574,3.6264868
6.5377426,1.0040987,,,,,,,,,7.509054,0.023316918,,,,,6.202481,3.148312
6.7904863,0.99955046,,,,,,,,,7.7368016,0.003976509,,,,,6.34206,2.539798
6.9294868,0.99506485,,,,,,,,,7.9900255,0.015393315,,,,,6.4560633,2.2574074
7.0937634,0.99056536,,,,,,,,,,,,,,,6.5700665,1.9750168
7.25806,0.9904748,,,,,,,,,,,,,,,6.7219844,1.6927292
7.4729095,0.99035645,,,,,,,,,,,,,,,6.8738027,1.5191723
7.700397,0.99023104,,,,,,,,,,,,,,,7.0889115,1.2370565
7.864733,0.9989584,,,,,,,,,,,,,,,7.2659264,1.1505529
7.991115,0.99888873,,,,,,,,,,,,,,,7.455619,1.0205914
,,,,,,,,,,,,,,,,7.708403,0.99953234
,,,,,,,,,,,,,,,,7.9232526,1.0001163
